cycle_idx,start_idx,end_idx,duration,avg_current_magnitude
957,16056520,16059489,2970,3.198880927995189
958,16072998,16075967,2970,3.1988803114690483
959,16089498,16092460,2963,3.1988816522261208
960,16106002,16108965,2964,3.1988767166786123
961,16122421,16125378,2958,3.198874500116184
962,16138871,16141830,2960,3.1988797764347545
963,16155328,16158286,2959,3.1989002674918763
964,16171826,16174779,2954,3.1988860862360435
965,16186853,16189764,2912,3.1988622858602116
966,16203298,16206248,2951,3.198881804810885
967,16219729,16222677,2949,3.19887379725576
968,16236147,16239096,2950,3.198858444122917
969,16252602,16255549,2948,3.198872700936985
970,16269066,16272011,2946,3.1989091197829063
971,16285520,16288465,2946,3.198864601353429
972,16302000,16304942,2943,3.1988777852673396
973,16318473,16321413,2941,3.198874344912095
974,16334924,16337862,2939,3.1988619438306944
975,16351362,16354299,2938,3.1988627094694566
976,16367763,16370697,2935,3.1988806844568507
977,16384278,16387211,2934,3.198901662468934
978,16400756,16403687,2932,3.1988794923430044
979,16417245,16420173,2929,3.1988742342715653
980,16437023,16439954,2932,3.1988399916689816
981,16453663,16456592,2930,3.1988659630331093
982,16470206,16473129,2924,3.198862915848841
983,16486775,16489697,2923,3.1988710464131787
984,16503281,16506198,2918,3.1988414229420052
985,16519800,16522714,2915,3.198866487615309
986,16536322,16539232,2911,3.1988595990976827
987,16552808,16555715,2908,3.198871126226052
988,16569294,16572200,2907,3.198837101910219
989,16585745,16588646,2902,3.198865621597223
990,16604226,16607120,2895,3.1988482996271386
991,16620632,16623523,2892,3.198851172934461
992,16639070,16641850,2781,3.1988146028016855
993,16655693,16658463,2771,3.1988072687240505
994,16672017,16674774,2758,3.19880325671128
995,16688353,16691111,2759,3.1987965725438783
996,16704676,16707429,2754,3.1987931410198316
997,16720987,16723736,2750,3.1988058012027296
998,16737241,16739984,2744,3.198795666126402
999,16753542,16756281,2740,3.198798017886521
1000,16769848,16772586,2739,3.1987943032873893
1001,16786103,16788836,2734,3.1987833915983948
1002,16802385,16805116,2732,3.1987866564210483
1003,16818689,16821415,2727,3.198782165543973
1004,16834991,16837306,2316,3.1985819387734127
1005,16849959,16852641,2683,3.1987506085765283
1006,16866185,16868863,2679,3.1987857543617553
1007,16882441,16885118,2678,3.198785283852893
1008,16899788,16902456,2669,3.198757192972328
1009,16916015,16918692,2678,3.1987641730701717
1010,16932236,16934897,2662,3.198737467840448
1011,16948392,16951049,2658,3.1987585769567497
1012,16964607,16967262,2656,3.198760451510824
1013,16980757,16983406,2650,3.198759959750775
1014,16996914,16999549,2636,3.1987373275154862
1015,17013057,17015689,2633,3.198745225072203
1016,17029210,17031839,2630,3.1987559255627063
1017,17045349,17047974,2626,3.198745244702512
1018,17061519,17064143,2625,3.19873472190436
1019,17077663,17080283,2621,3.1987513218106285
1020,17093801,17096417,2617,3.1987428711666386
1021,17109896,17112512,2617,3.1987462821440196
1022,17125992,17128601,2610,3.1987336765736676
1023,17142063,17144669,2607,3.1987592079813094
1024,17158156,17160757,2602,3.198737119482577
1025,17174245,17176846,2602,3.198722693197468
1026,17190364,17192963,2600,3.1987311829850644
1027,17206444,17209035,2592,3.1987296864271393
1028,17222569,17225158,2590,3.198732293422203
1029,17238706,17241289,2584,3.1987374812835294
1030,17254808,17257388,2581,3.1987267377881743
1031,17270898,17273475,2578,3.198715880504502
1032,17286997,17289571,2575,3.1987144199979602
1033,17303084,17305653,2570,3.1987020331608016
1034,17319156,17321726,2571,3.1987176011749634
1035,17338154,17340737,2584,3.1987242831744194
1036,17354614,17357180,2567,3.1987090225491195
1037,17370832,17373390,2559,3.198709315722352
1038,17386951,17389509,2559,3.1987178128330225
1039,17403015,17405562,2548,3.1987104629340966
1040,17419076,17421615,2540,3.1987124749713467
1041,17435121,17437659,2539,3.1987006813643464
1042,17451104,17453638,2535,3.198697565734601
1043,17471289,17473837,2549,3.198694374871468
1044,17487700,17490232,2533,3.1986904470059514
1045,17503934,17506462,2529,3.1987058611749837
1046,17520028,17522549,2522,3.198711852974719
1047,17536062,17538573,2512,3.1986842191584746
1048,17552041,17554551,2511,3.198711022838525
1049,17567990,17570496,2507,3.1986836948099895
1050,17583889,17586390,2502,3.1986796920898066
1051,17599823,17602320,2498,3.1986870338569324
1052,17615749,17618245,2497,3.1986683402092457
1053,17631646,17634137,2492,3.1986800884827713
1054,17647528,17650014,2487,3.198678447220621
1055,17663430,17665912,2483,3.198684817343921
1056,17679317,17681798,2482,3.198673387276039
1057,17695163,17697641,2479,3.1986721881059297
1058,17711041,17713517,2477,3.1986593436914634
1059,17726900,17729373,2474,3.198673390258038
1060,17742497,17744959,2463,3.19866140648598
1061,17758319,17760781,2463,3.1986631721462486
1062,17774152,17776611,2460,3.1986602764860694
1063,17789998,17792453,2456,3.1986594178857612
1064,17805865,17808319,2455,3.1986565223695034
1065,17821707,17824167,2461,3.198653027048028
1066,17837561,17840005,2445,3.198648406391797
1067,17853390,17855828,2439,3.1986551978131783
1068,17869226,17871665,2440,3.1986497641731
1069,17884983,17887417,2435,3.1986417277223778
1070,17900765,17903191,2427,3.198647567803436
1071,17916522,17918944,2423,3.1986343962599624
1072,17932338,17934762,2425,3.1986333894142147
1073,17948083,17950500,2418,3.1986324243613944
1074,17963786,17966197,2412,3.1986234046825825
1075,17979554,17981967,2414,3.198637478066786
1076,17995277,17997687,2411,3.1986245235392894
1077,18011024,18013424,2401,3.1986323315159932
1078,18026730,18029129,2400,3.198628595407068
1079,18042455,18044855,2401,3.1986298529576636
1080,18058909,18061359,2451,3.1986607920366557
1081,18074538,18076977,2440,3.198658019053812
1082,18090116,18092546,2431,3.1986295314423083
1083,18105619,18108047,2429,3.198637034513095
1084,18121151,18123583,2433,3.1986513922164455
1085,18136634,18139060,2427,3.198638891474543
1086,18152178,18154592,2415,3.198642989593106
1087,18167736,18170145,2410,3.1986368501580245
1088,18183240,18185651,2412,3.1986247332043862
1089,18200882,18203312,2431,3.1986447841873495
1090,18216922,18219328,2407,3.198625870242126
1091,18232694,18235095,2402,3.198635302198247
1092,18248348,18250756,2409,3.1986272391023527
1093,18263919,18266324,2406,3.1986267070555456
1094,18279426,18281820,2395,3.198632039836604
1095,18294943,18297330,2388,3.1986334549071547
1096,18310393,18312776,2384,3.1986193721476175
1097,18325823,18328205,2383,3.1986246325756933
1098,18341216,18343600,2385,3.1986168992228343
1099,18356625,18359010,2386,3.19861260573
1100,18372005,18374379,2375,3.198616568888508
1101,18387388,18389753,2366,3.1986107453826276
1102,18407179,18409550,2372,3.1986207439584304
1103,18423352,18425704,2353,3.198601941566285
1104,18439213,18441559,2347,3.198604296861291
1105,18454928,18457269,2342,3.1985964306007864
1106,18470543,18472879,2337,3.198589118319455
1107,18486090,18488415,2326,3.1985934475031303
1108,18501632,18503956,2325,3.1985545276225635
1109,18517056,18519377,2322,3.1985872984611836
1110,18532533,18534849,2317,3.198584743829745
1111,18547982,18550292,2311,3.198569956953554
1112,18563397,18565707,2311,3.19859412312411
1113,18578756,18581058,2303,3.1985822228552494
1114,18594129,18596427,2299,3.1985685258680143
1115,18609466,18611761,2296,3.1985731751180593
